,Layer,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
0,30,Lasso,1,0.5243268603419344,0.25474961891311226,0.3125864938649544,0.4793288888836631,0.2701933902357681,0.33262414310956645,0.7645624365851849,0.7376312911947165,194,pca2
1,30,Lasso,2,0.522986062312481,0.25555931610770605,0.3142512980700323,0.49078044907041163,0.25670357059693827,0.31759515832473006,0.7649606800166754,0.7220803046575162,177,pca2
2,30,Lasso,3,0.5243453733646746,0.25450051529426815,0.3127924401814305,0.4648021478931835,0.271996174059113,0.3348328334066396,0.7646824398553794,0.7127152982319954,186,pca2
3,30,Lasso,4,0.5216765423148413,0.25596021650450584,0.31383995458234903,0.4931104983529552,0.26222246287489137,0.3247323921829724,0.7642320137650854,0.7340265388642838,189,pca2
4,30,Lasso,5,0.5236774190378195,0.25502663103828593,0.3132426764353498,0.48841086043260207,0.26983830579243673,0.3254097870064749,0.7643382541903914,0.735875661552157,189,pca2
5,30,Lasso,6,0.5240041422557753,0.25577045182768826,0.3137745907255286,0.48471947303661633,0.25889383764841967,0.3208210186411636,0.762126449202673,0.7601291749752512,193,pca2
6,30,Lasso,7,0.5231574449590366,0.2551149464264552,0.3135690093059476,0.4847246960460323,0.26624780860051817,0.32491068359956427,0.7633398025354644,0.7433412891608452,194,pca2
7,30,Lasso,8,0.5223704596882577,0.25516457188172054,0.3126080426380268,0.4858675636754817,0.2715955392412346,0.3362228661068447,0.7624102791347283,0.7569840441749577,193,pca2
8,30,Lasso,9,0.5189295329506696,0.25682013556453953,0.3151315640165213,0.503022468200597,0.2616377821286334,0.31684520040305747,0.7631203901425437,0.7370097068323368,182,pca2
9,30,Lasso,10,0.5193547968388508,0.25680667909770294,0.31554031778845076,0.49644258038852807,0.25662113011757365,0.3148101687990636,0.7601739738303614,0.7469601875089464,183,pca2
0,30,Lasso,1,0.7405515075089835,0.18076614967883117,0.2308561618169009,0.6879069956977228,0.2019016133019288,0.25752182693685405,0.878794774370044,0.8524536341420392,567,iDCT
1,30,Lasso,2,0.7435065930225755,0.18014927842278033,0.23043563978650097,0.6732642952382605,0.20061058942073648,0.25440148148832226,0.8799914094591988,0.8313284932283612,568,iDCT
2,30,Lasso,3,0.7434860085993004,0.1791097935283804,0.22970260192392467,0.6690439580660822,0.21573099061357995,0.26330312528746536,0.8793475447075717,0.837375783336795,566,iDCT
3,30,Lasso,4,0.7429424593256808,0.17983153747167008,0.23007136358659705,0.6739032890726563,0.20251334414161667,0.26046068164563396,0.8788528015283692,0.8398918067642959,562,iDCT
4,30,Lasso,5,0.7412125841820991,0.18038144654076682,0.23088829553841625,0.6815014441501701,0.2029321791985305,0.25675782385796464,0.8780573654923708,0.8456588181487462,566,iDCT
5,30,Lasso,6,0.7442308524238064,0.17940898395299532,0.23000658141980906,0.6572829095989552,0.21028235713734508,0.26164282481167694,0.8780857278491805,0.8488245384659141,567,iDCT
6,30,Lasso,7,0.7389641079794269,0.1812149206514857,0.2320041448558056,0.7085036793424722,0.19126680038566318,0.24437730242007905,0.8777945981545315,0.8611753429623361,588,iDCT
7,30,Lasso,8,0.7456010966033628,0.17957478660469053,0.2281456407969946,0.6537782811492423,0.2034481813452402,0.27590965486976465,0.8797765914425247,0.8469172700659725,556,iDCT
8,30,Lasso,9,0.7458664610624184,0.17939719377418267,0.22904380449606493,0.6409937725023868,0.20937824221828294,0.2692959031258873,0.8826865710122395,0.8038703379273121,568,iDCT
9,30,Lasso,10,0.7422767259022902,0.18098994350461806,0.23105712881029686,0.6951636306933338,0.1902310826204986,0.2449388320863598,0.8790132208769309,0.8518332133076187,577,iDCT
0,30,Lasso,1,0.6091834274736778,0.22672889043171154,0.28333640607653715,0.5719414966651835,0.24112900667087375,0.3015946213943034,0.8085805425991579,0.7821984316679029,206,mean
1,30,Lasso,2,0.6088870058040985,0.2280702779286753,0.28455267225395836,0.560291562846013,0.23179318132902388,0.295123462648979,0.8086413611946993,0.7646148552535351,191,mean
2,30,Lasso,3,0.6100583305521163,0.22631731691090204,0.28321105953322145,0.5456677216190959,0.25120047497945663,0.30850176521925105,0.8090801652313959,0.7628278865050147,195,mean
3,30,Lasso,4,0.6064447970586566,0.22816919341050768,0.2846755848162518,0.5801239321819733,0.23456392908779378,0.2955490204234083,0.8068785709311865,0.7867627542185422,189,mean
4,30,Lasso,5,0.6053449917229012,0.22783104912521396,0.28512752877130854,0.5854440664900282,0.23925167778096806,0.2929284274967891,0.8054568204005211,0.8005161700355654,190,mean
5,30,Lasso,6,0.6115433415680434,0.22660236139837758,0.28345718514304236,0.5496353979492477,0.24034943622378188,0.29993218574553043,0.8074001564137144,0.7815145289927997,201,mean
6,30,Lasso,7,0.6065424672209343,0.22744117189705343,0.28483579313868396,0.6061708077452771,0.23040265298279558,0.2840522803929481,0.8071523313307812,0.8082983624139664,192,mean
7,30,Lasso,8,0.6085962929641437,0.22732867959129824,0.28298735171680234,0.5670305640371099,0.24215406673700102,0.30854489399242474,0.8066871279302874,0.7959947301712408,191,mean
8,30,Lasso,9,0.6086570146812549,0.2276661364999447,0.28422765603418504,0.5770714949409623,0.23576180277581818,0.29228884018900786,0.8097611443034353,0.7746266298557747,193,mean
9,30,Lasso,10,0.6037255831537556,0.22905639710448095,0.28651051819991935,0.5992750623295717,0.224255586768831,0.2808325461762764,0.8046676577939865,0.7970745932437752,192,mean
0,30,Lasso,1,0.625371521885129,0.22118530317515156,0.27740628035407394,0.5614112860472724,0.24283544466130527,0.3052816875434755,0.8217082705112112,0.786483106056733,263,pca1-2
1,30,Lasso,2,0.622833478326414,0.22298452907882793,0.27943327079656244,0.5761599978466657,0.22929297908672838,0.28974924291450044,0.8204699622042838,0.778563633235598,267,pca1-2
2,30,Lasso,3,0.6239140328488805,0.22142031199124218,0.27813391560647094,0.5546536557617602,0.24756557399061332,0.3054357041154112,0.8213108949921794,0.7655341460409818,279,pca1-2
3,30,Lasso,4,0.6195016936277518,0.22387978497948427,0.2799134431085408,0.5788736635800602,0.23357174961639338,0.29598872277864713,0.8180572682441773,0.79177791124375,268,pca1-2
4,30,Lasso,5,0.6232707041700529,0.22201446920019569,0.27857685922666975,0.5709794109006436,0.2440863528620476,0.2979950292903024,0.8199468943937923,0.7919827542699389,268,pca1-2
5,30,Lasso,6,0.6258441305407983,0.22188152891056753,0.2781906096950814,0.5621089437439035,0.23671016211187168,0.2957494773218182,0.8195845433713078,0.7994203212235167,269,pca1-2
6,30,Lasso,7,0.6192759898347053,0.22352372949950197,0.2801887952223748,0.5909684160736127,0.23325479505277885,0.289482790093442,0.8179434773026608,0.8032183965910303,273,pca1-2
7,30,Lasso,8,0.6227952515939871,0.22264056331097135,0.2778069671159588,0.5745111333274961,0.2374053610249053,0.3058678598155593,0.8187594715863837,0.8030350135983508,274,pca1-2
8,30,Lasso,9,0.6198528936024142,0.22367523377603213,0.2801324381868885,0.5988370985503275,0.227839326120609,0.2846683192725031,0.8211023485544873,0.7930815542188081,266,pca1-2
9,30,Lasso,10,0.6182297337012292,0.22418658927334828,0.28121831572118755,0.6059153713936023,0.2218375325515671,0.2784960246063663,0.8175332778135062,0.8028185492994369,269,pca1-2
0,30,Lasso,1,0.589895369403181,0.23459771540853228,0.2902439872564985,0.5525326018125115,0.24969695644003315,0.30835622988947947,0.8019508706089938,0.7808550140928974,291,maxPool
1,30,Lasso,2,0.5925225191806859,0.234831184489166,0.29044463062533155,0.5387067462914755,0.24395450264589105,0.30228033155225714,0.804422361086752,0.7463192807531857,303,maxPool
2,30,Lasso,3,0.5899304455448928,0.23482401456882818,0.29042844435441384,0.5490674844401362,0.2552222090454541,0.30734534033145494,0.8016627153886592,0.770728703256577,297,maxPool
3,30,Lasso,4,0.590428006682524,0.23520412242064268,0.2904106362122605,0.5392312810489828,0.25098404029912114,0.3096067762904107,0.8018017607754571,0.7621019574383602,297,maxPool
4,30,Lasso,5,0.5918607237700151,0.23386655478533758,0.28995762628254845,0.5403893381813589,0.2551552281903502,0.30843595561698856,0.8017644474434918,0.7682464821239625,299,maxPool
5,30,Lasso,6,0.592517753457316,0.2345956396323861,0.29031570555423697,0.5315695485618241,0.24576894373120206,0.3058887523550884,0.8012965394709896,0.7738032709580467,309,maxPool
6,30,Lasso,7,0.5908647439165885,0.2348512470895987,0.2904551513663699,0.5400894554599548,0.24917458749152807,0.3069594522947546,0.8023766754997385,0.7734233330099651,298,maxPool
7,30,Lasso,8,0.5970506948303291,0.23347262885465245,0.28713078826610355,0.48964582758205377,0.26041732836917275,0.33498516827283864,0.805358949674445,0.7511975269130895,296,maxPool
8,30,Lasso,9,0.5921675248461862,0.2345247341405166,0.29015393134541645,0.526632307257543,0.25088109453657864,0.30922746658157546,0.8051017562218262,0.7456778534589023,298,maxPool
9,30,Lasso,10,0.5895435691413722,0.23582491378736364,0.2915923222109726,0.5587715730450705,0.23928683198238015,0.29468361912611923,0.8008380777720521,0.7876550672929462,301,maxPool
0,30,Lasso,1,0.4450544920570936,0.27966511542582595,0.33763002834431943,0.4274797064327186,0.28815033915999827,0.3487927671031247,0.7025708874981699,0.6966049599310298,172,bos
1,30,Lasso,2,0.4509963816344691,0.27923299482532116,0.33713135752505297,0.38032482571986537,0.29021412272810276,0.35035102069521473,0.7071163326751345,0.6432239507181625,171,bos
2,30,Lasso,3,0.452381243397871,0.2777387549371319,0.33562132130538525,0.3601780307006296,0.30637465729639657,0.36610059197147704,0.7084432634289309,0.6357426662630947,175,bos
3,30,Lasso,4,0.44398941129376623,0.2809938103918176,0.3383677188656299,0.4434667838821642,0.2792957815922418,0.34026282902715294,0.7033526071706365,0.6902040659402003,175,bos
4,30,Lasso,5,0.4451013419464048,0.2799034992252768,0.3380937776914251,0.416969215265939,0.29291373906332085,0.3473887066604524,0.7008496854871147,0.6948172447937453,161,bos
5,30,Lasso,6,0.44925575497061154,0.2798677767234716,0.3375135158077014,0.40272355651994396,0.2856175915400153,0.34540501712452454,0.7036522401870136,0.6842301415169383,170,bos
6,30,Lasso,7,0.4404226643499677,0.28160593244123955,0.33968446757193727,0.4535844094126036,0.2785612322563428,0.33458453935218163,0.6995249127552722,0.7052467905035578,178,bos
7,30,Lasso,8,0.44744589362164433,0.2796930615042074,0.3362342599766565,0.3872379804781372,0.29527253420166016,0.36705881929944373,0.7022494800865773,0.6797188942921981,163,bos
8,30,Lasso,9,0.4466396987268346,0.28045408049990966,0.3379804316505199,0.40171471219237553,0.28603126124159245,0.3476425421512278,0.705046553538625,0.6586994103393394,171,bos
9,30,Lasso,10,0.4486376343413948,0.2798353781916412,0.337956739833203,0.38501620181190754,0.2931541341160996,0.3479013305472864,0.7044113026135199,0.6556827779192926,172,bos
0,30,Lasso,1,0.6035959863116811,0.22801400998845647,0.28535462546344265,0.5579200586171609,0.2442122012415459,0.3064943215817204,0.8088770542220098,0.7818168507301446,216,pca1
1,30,Lasso,2,0.6034922551102686,0.22884765181021954,0.28650841578746566,0.5541239739078605,0.23417798379155172,0.29718603598982096,0.8081740036985393,0.7669772426253537,214,pca1
2,30,Lasso,3,0.6043868919315334,0.22712314177455634,0.28526318172281656,0.5398259181910475,0.2536259893237192,0.3104787878858643,0.8092752361264127,0.7598561686669628,214,pca1
3,30,Lasso,4,0.5993998083362528,0.23017216766920073,0.2872122562828127,0.5702631237276999,0.2356976686528407,0.29899937113564307,0.8057860231329006,0.785777281544386,202,pca1
4,30,Lasso,5,0.600818434871642,0.22862837091658997,0.28675802401197925,0.5664403841615661,0.2448246969185791,0.2995672715135483,0.8058755168308539,0.7917549683376481,211,pca1
5,30,Lasso,6,0.6034854983894038,0.22863682853684383,0.286382003287586,0.5504072694179476,0.23983552562962973,0.2996750514419682,0.806218596827343,0.7881002646208586,202,pca1
6,30,Lasso,7,0.5997038009865985,0.22912878191218855,0.2873004881200576,0.5807822254698476,0.23798095545246406,0.2930651464540311,0.8059590358122014,0.7948451673613663,200,pca1
7,30,Lasso,8,0.6012494106083066,0.22909729631634873,0.2856309251935307,0.5646503544846895,0.24083570946128663,0.3093918301521388,0.8063987354565634,0.794585858252636,200,pca1
8,30,Lasso,9,0.5990825488245284,0.23033913274128293,0.28768355516553434,0.585494011996877,0.23148102519670447,0.28936377381279504,0.8079378809988198,0.7829123331132084,213,pca1
9,30,Lasso,10,0.5989522931567205,0.23019024255225143,0.28823092207912154,0.5914065305609453,0.22714880505887655,0.2835763204510038,0.8057268005701181,0.797096557871317,210,pca1
