,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,param,datse_size
3114,RL401 2014,Lasso,5,0.4977394815885192,0.2129759525276642,0.2848559486855748,0.508732378845854,0.2218589162411174,0.2944108408463643,0.6611440416469795,0.643370478426852,46,mean,650M,1435
3250,DLG4 RAT,Lasso,1,0.4688122189218322,0.1971970399560043,0.2873917241415356,0.4305228712593015,0.2149966069107299,0.3110390272972472,0.6070425293951889,0.6079246818781139,80,mean,650M,1659
3251,DLG4 RAT,Lasso,2,0.1609670139077479,0.2421102052287411,0.3587668030160636,0.1555543304020559,0.2622699310393925,0.3873159946723088,0.4618327680579714,0.4608693712434395,14,mean,650M,1659
3252,DLG4 RAT,Lasso,3,0.2958681997633449,0.2330642339580561,0.3386572006851268,0.3022311802073687,0.2286493660386403,0.311950769972123,0.5372132947731598,0.516112299777517,39,mean,650M,1659
3253,DLG4 RAT,Lasso,4,0.2560596748810978,0.2300799213739692,0.3379620211878252,0.1838737636451136,0.2573233305783453,0.3802811180549685,0.5051028496740008,0.4683600466127802,25,mean,650M,1659
3254,DLG4 RAT,Lasso,5,0.6412537988006696,0.1690331866990018,0.244397188138644,0.4382768396015486,0.1803883923498516,0.2648783401331651,0.6868423316519299,0.574685176120897,154,mean,650M,1659
3260,HSP82 YEAST,Lasso,1,0.5518611562386185,0.161433817875725,0.2350189882442074,0.4949987000091569,0.1692724478518389,0.2453386095838344,0.5547394803043758,0.5009349661696163,113,mean,650M,4543
3261,HSP82 YEAST,Lasso,2,0.5647852423021086,0.1586995668689588,0.2300285590718035,0.5459579677773523,0.1668584726355668,0.239062924570029,0.5536657367947124,0.539039503332613,134,mean,650M,4543
3262,HSP82 YEAST,Lasso,3,0.5526969548232935,0.1600193129696241,0.2329053211314242,0.5290723531171603,0.1710208174293017,0.2447588963407376,0.5556949226592306,0.5294974933943745,116,mean,650M,4543
3263,HSP82 YEAST,Lasso,4,0.5551763605048655,0.1600975671821584,0.2318503924399886,0.497454684645407,0.1715499136900283,0.2544773194342459,0.5499616909025462,0.5575692250062751,110,mean,650M,4543
3264,HSP82 YEAST,Lasso,5,0.5683486625121494,0.1613349002556608,0.2325953026664585,0.5352335033412297,0.15362957552279,0.2269803974858138,0.5537015389333041,0.5379302699375186,126,mean,650M,4543
3360,IF1 ECOLI,Lasso,1,0.3930922268523776,0.1621027942849417,0.2221890405523733,0.2944381445438281,0.1701502335419793,0.2237556132538675,0.5548188356752707,0.4609648403849061,44,mean,650M,1439
3361,IF1 ECOLI,Lasso,2,0.3436723244889218,0.1650368962041733,0.227456423876561,0.3690107163600318,0.1697629210937213,0.226481625611581,0.5381662458334343,0.4950965612527667,39,mean,650M,1439
3362,IF1 ECOLI,Lasso,3,0.352233654702315,0.1596781146886626,0.2217588008078518,0.3160923063513426,0.1750842010869945,0.2509450371597239,0.5447865957801885,0.5584945966593134,38,mean,650M,1439
3363,IF1 ECOLI,Lasso,4,0.3750153048680172,0.1636315880592742,0.2248044220109795,0.3248826922787896,0.1616756062181017,0.2222165513770417,0.5427710043069126,0.5559866692882992,36,mean,650M,1439
3364,IF1 ECOLI,Lasso,5,0.3782171405859634,0.1634115073640289,0.2224604886205487,0.3176011894566246,0.1649921672880952,0.2309397939006654,0.5609019975718768,0.5139803632473252,40,mean,650M,1439
3465,RASH HUMAN,Lasso,1,0.5591835389112424,0.1467152887600327,0.2027222081384123,0.5107099688744039,0.1559064366233193,0.2071479612967549,0.7812927653233662,0.7214056144855703,171,mean,650M,3134
3466,RASH HUMAN,Lasso,2,0.6327844385732477,0.1300461497222171,0.1841324527800052,0.5904480649672393,0.1470812194885345,0.1934426598274366,0.816149070455419,0.7704799556865416,247,mean,650M,3134
3467,RASH HUMAN,Lasso,3,0.5909120590272028,0.1432128631171746,0.1914423999143884,0.4690043679260238,0.1507391737188442,0.2331194535540694,0.7855583847198386,0.7433448754871856,190,mean,650M,3134
3468,RASH HUMAN,Lasso,4,0.5899553993232788,0.1402637929211913,0.1957820845889346,0.5225310832278361,0.1532804390532806,0.2035340935138601,0.792685319636085,0.725345015889732,199,mean,650M,3134
3469,RASH HUMAN,Lasso,5,0.1756420414403592,0.2139436391708339,0.2754999822160585,0.1462483865703472,0.2149664441964842,0.2807640937871938,0.5113090630295081,0.4556335631410795,14,mean,650M,3134
3545,RL401 2013,Lasso,1,0.6345960635216268,0.1433637366905588,0.1996381588858417,0.5693984635854666,0.1776748173983078,0.2459850422688569,0.7926627499758043,0.7750803510306847,94,mean,650M,1269
3546,RL401 2013,Lasso,2,0.4308140093696863,0.1968918853475542,0.2583024149476541,0.3679713687829359,0.2019944921159368,0.2646526307806757,0.6781529992059853,0.5942255419965912,20,mean,650M,1269
3547,RL401 2013,Lasso,3,0.4239325442321332,0.2017273318520907,0.2638338894243967,0.4281994182933937,0.1876068478400313,0.2328303421477368,0.6728734134577322,0.670845775633368,23,mean,650M,1269
3548,RL401 2013,Lasso,4,0.4595151644010051,0.1921731639530858,0.2529671618470508,0.3811058406585152,0.1906004898801563,0.2562128810160384,0.6955518998643923,0.6255281890357641,25,mean,650M,1269
3549,RL401 2013,Lasso,5,0.5634152675823652,0.1630144157119858,0.2231692567740973,0.5270498663316513,0.1729193482568612,0.2415538856443165,0.762859332747783,0.7418453863862998,66,mean,650M,1269
3605,BLAT ECOLX 2015,Lasso,1,0.6442411272650961,0.5679708669700588,0.6861089121891765,0.6234850053678944,0.5853739109495428,0.7093221112720649,0.8292790916204432,0.8072624846926565,203,mean,15B,4996
3606,BLAT ECOLX 2015,Lasso,2,0.6637288421386298,0.5533440255832571,0.6705381638206847,0.655905488199725,0.5433524192701563,0.6641274244501858,0.8366982210582812,0.8330470265056474,235,mean,15B,4996
3607,BLAT ECOLX 2015,Lasso,3,0.6972028039790584,0.5172569660660111,0.6332085327701891,0.6628938919080086,0.5473468130850624,0.670381604724759,0.8517086649969001,0.8323455027877229,262,mean,15B,4996
3608,BLAT ECOLX 2015,Lasso,4,0.6797036290893324,0.536777468436279,0.653381881419428,0.5977265462355892,0.5943706227246867,0.7224409329706134,0.8447417682672026,0.8009191115515797,222,mean,15B,4996
3609,BLAT ECOLX 2015,Lasso,5,0.6810782720666652,0.5304900235993054,0.6470002878407312,0.6164080141013379,0.5966695768729314,0.726786995443534,0.8450137517545258,0.810738378787138,224,mean,15B,4996
3645,PABP doubles,Lasso,1,0.7936179650949766,0.1380998469767472,0.1779839083556129,0.7818985227467992,0.140526013313036,0.1824598125089811,0.9148323674692268,0.9081237604652832,909,mean,15B,36521
3646,PABP doubles,Lasso,2,0.7916406643687728,0.1385061305557098,0.1785172887708606,0.7782760493132841,0.1431510273247705,0.1852216435948969,0.914479782499582,0.9047638026169232,840,mean,15B,36521
3647,PABP doubles,Lasso,3,0.7973207583388451,0.1363530588703791,0.1758602847104597,0.7778957066435096,0.1419242031459591,0.1862763125819831,0.9159843621819982,0.9104221461760692,931,mean,15B,36521
3648,PABP doubles,Lasso,4,0.7960311881781108,0.1368576742488433,0.1771539475392093,0.77723362361543,0.1431409715594154,0.1834771043611983,0.914845440448152,0.9111742547164446,927,mean,15B,36521
3649,PABP doubles,Lasso,5,0.8086046295248449,0.1321672781368013,0.1715216559675202,0.7868801615961546,0.1386108896103535,0.1798403799159557,0.9195669725901566,0.908403380792052,1341,mean,15B,36521
3740,TIM THETH,Lasso,1,0.6828156469805908,0.2704909571710379,0.3374717236177463,0.6147472400488587,0.318082909762367,0.3907645143651958,0.82972857459433,0.7986892078662523,159,mean,15B,1519
3741,TIM THETH,Lasso,2,0.7018522504786839,0.26663864465753,0.3318016804891642,0.5868917884507515,0.2993093299696509,0.3843083385006352,0.8409690984861928,0.7513506812110475,161,mean,15B,1519
3742,TIM THETH,Lasso,3,0.6612639356777168,0.2870196436868108,0.3555381529270481,0.530138119393815,0.3259820614071584,0.4002282737443433,0.8244686858998629,0.7105938031249199,118,mean,15B,1519
3743,TIM THETH,Lasso,4,0.6926543886021713,0.2698957056880172,0.3377251330929831,0.6095733746029705,0.2954963414157483,0.3709875391789398,0.8326300920918189,0.8010759531518294,140,mean,15B,1519
3744,TIM THETH,Lasso,5,0.5782870862650902,0.3226750574980683,0.3918647691892308,0.5332976415295159,0.3458017462031241,0.4212442580585916,0.7806871044932254,0.7627825957918202,87,mean,15B,1519
3840,PABP singles,Lasso,1,0.7589054493658105,0.1375951882720618,0.1799008639722923,0.6446894807552568,0.1658067355185645,0.2115042626164636,0.863632856379083,0.7839704544852885,188,mean,15B,1187
3841,PABP singles,Lasso,2,0.7072895824207999,0.156349313027567,0.1936627011798839,0.5163260660493023,0.1960318360221127,0.2695267974751669,0.8211599056359323,0.7679715297739659,146,mean,15B,1187
3842,PABP singles,Lasso,3,0.4422563482014302,0.2182372148418985,0.2690739053663678,0.4043187675536012,0.2425686462498107,0.2897097033236845,0.7152887987357825,0.7064773130878612,50,mean,15B,1187
3843,PABP singles,Lasso,4,0.806085101762912,0.1209084911511087,0.1623951365494594,0.6618256679432012,0.159715719318599,0.2002282216247784,0.8876535960609531,0.770510349602188,255,mean,15B,1187
3844,PABP singles,Lasso,5,0.8018523544210346,0.1232431661914437,0.1633990246489514,0.6726324170035289,0.1548354790124291,0.2009531922262257,0.8832384549644079,0.7641677138566217,245,mean,15B,1187
3890,RL401 2014,Lasso,1,0.514203441693235,0.2173318576667367,0.2868942108587864,0.472502607409761,0.2197705344455998,0.2771698063686215,0.6769439989951777,0.649921211988659,63,mean,15B,1435
3891,RL401 2014,Lasso,2,0.5178059892487938,0.2180791639129043,0.2844036422996702,0.4269008265997294,0.2191448345873829,0.2948018214629992,0.6783460532919035,0.5887827758339775,62,mean,15B,1435
3892,RL401 2014,Lasso,3,0.3960272056081227,0.2437626670181543,0.316281327313368,0.3541741587399641,0.2463884407468789,0.3225237609327533,0.6296335237612452,0.6111349403892034,36,mean,15B,1435
3893,RL401 2014,Lasso,4,0.5913985553905198,0.1913084522678876,0.254978705146995,0.4833875245193484,0.2250727920540534,0.310793705126007,0.712579707719928,0.6617899323417349,82,mean,15B,1435
3894,RL401 2014,Lasso,5,0.3734410963229654,0.2439681154447981,0.3181571780695748,0.3496047525974867,0.2659801980551942,0.3387532000950621,0.6219998418067595,0.6213554246235636,28,mean,15B,1435
3965,DLG4 RAT,Lasso,1,0.0297442489475709,0.2664901640106817,0.3884126202181914,0.0429883735645014,0.2716836327970823,0.4032137640474763,0.1253912112576603,0.2212688218719473,6,mean,15B,1659
3966,DLG4 RAT,Lasso,2,0.1502375138386479,0.246449004198203,0.3610534592809494,0.0066644061037737,0.277924784435514,0.4200757142061986,0.3067893227699474,0.2316031673670331,46,mean,15B,1659
3967,DLG4 RAT,Lasso,3,0.0384087235762101,0.272673538129993,0.3957569882333975,0.0255305122186257,0.2633083855019238,0.3686501416347472,0.1741681242165683,0.1323546724366902,6,mean,15B,1659
3968,DLG4 RAT,Lasso,4,0.0371999172458492,0.2623811925184391,0.3844739398897112,0.01641798829695,0.2817208771764617,0.4174758725569991,0.1548456653483223,0.1232545510709683,4,mean,15B,1659
3969,DLG4 RAT,Lasso,5,0.0375000568503451,0.2775075848599578,0.4003159605220944,0.0024894540119092,0.2510977112562944,0.3529750666117814,0.1732931698061701,0.111571389347658,6,mean,15B,1659
4020,HSP82 YEAST,Lasso,1,0.129695070668961,0.2303901511169679,0.3275158929619851,-0.0049542931196875,0.2417763971639207,0.3460929928875598,0.3165089540924611,0.2320317752907411,84,mean,15B,4543
4021,HSP82 YEAST,Lasso,2,0.0488503230375033,0.2371105406574416,0.3400590871089967,0.0381661289681993,0.2452570425919379,0.3479479099034849,0.2228552274706787,0.2177778459455085,43,mean,15B,4543
4022,HSP82 YEAST,Lasso,3,0.0412536259873513,0.2406058396987268,0.3409811339480854,0.0226884184234905,0.2452504869698272,0.3525964335653441,0.2012305323323198,0.1664553100869734,28,mean,15B,4543
4023,HSP82 YEAST,Lasso,4,0.0442868977528922,0.2388087693220839,0.3398424889336819,0.043306834072644,0.243553635551193,0.3511137221368636,0.2080165418524908,0.2434822813862966,49,mean,15B,4543
4024,HSP82 YEAST,Lasso,5,0.0525062443165935,0.2429144105791924,0.3446057919439526,0.0156738718688371,0.2356024883998199,0.3303242456965313,0.2222741319399157,0.1350543959194136,34,mean,15B,4543
4130,IF1 ECOLI,Lasso,1,0.0079500130572199,0.2099119399624061,0.284071759694448,-0.0002529356793234,0.2035367804020107,0.2664166171995046,0.1003817757524111,0.0620969660280561,4,mean,15B,1439
4131,IF1 ECOLI,Lasso,2,0.1410929295365234,0.1943623182728615,0.2602021836444931,0.0707381513896413,0.2101423503297757,0.2748470218730854,0.2493866379049575,0.105565800824571,64,mean,15B,1439
4132,IF1 ECOLI,Lasso,3,0.0458334554890301,0.1974870787457475,0.2691434200118325,0.0125808411313907,0.2188182000507186,0.3015300788886708,0.1435741269739059,0.0543837895800738,17,mean,15B,1439
4133,IF1 ECOLI,Lasso,4,0.0460483777986608,0.2058349812469066,0.2777367403067191,0.0152912271695908,0.1982068847844556,0.2683741524892947,0.1306801988184484,0.072224903545474,14,mean,15B,1439
4134,IF1 ECOLI,Lasso,5,0.2111700658223354,0.1895324364794041,0.2505677684839619,-0.0066405728240848,0.209050009114294,0.2804896617248696,0.3147268450672009,0.051516574019395,101,mean,15B,1439
4160,RASH HUMAN,Lasso,1,0.0651557085168806,0.2328014243921881,0.2952174784414102,0.0416236050782559,0.2334851701060665,0.2899115606868562,0.2721728541663245,0.192564721241065,49,mean,15B,3134
4161,RASH HUMAN,Lasso,2,0.0638108904381805,0.2303063428160899,0.2940028851054642,0.0429677719320588,0.2414856230067421,0.2957066187878527,0.2660133993639812,0.1919085681481537,53,mean,15B,3134
4162,RASH HUMAN,Lasso,3,0.0560917251050111,0.2336627417893678,0.2908001912629695,0.0261279503183221,0.2353146733911905,0.3157068412104949,0.2505853240561713,0.2051390739799711,36,mean,15B,3134
4163,RASH HUMAN,Lasso,4,0.0570464253721463,0.2337882305288681,0.2968947753722221,0.0260436350753745,0.2346935873297097,0.2906928603052601,0.2534239146447104,0.1449425532563313,41,mean,15B,3134
4164,RASH HUMAN,Lasso,5,0.0809094475963212,0.229113963481744,0.2908993886602821,0.0459496201258455,0.2328494230965973,0.296798329251613,0.2917665614210189,0.216366828194506,64,mean,15B,3134
4230,RL401 2013,Lasso,1,0.2830949813008903,0.2227944799150739,0.2796325708927113,0.0066160460381066,0.2909719531554875,0.3736194547519543,0.4984521071716566,0.2449913292283525,95,mean,15B,1269
4231,RL401 2013,Lasso,2,0.2572827459831186,0.2373124598000437,0.2950618913808501,0.0994042338469983,0.2500511413296377,0.3159168494712513,0.5013125319657523,0.3370260314835493,101,mean,15B,1269
4232,RL401 2013,Lasso,3,0.2574931041262539,0.2410816644565225,0.2995326405579623,0.0787743187484731,0.2453846341793931,0.2955291319433239,0.4849336464331157,0.3255613662083669,88,mean,15B,1269
4233,RL401 2013,Lasso,4,0.1552679598740223,0.2558789756769323,0.3162509763809042,0.0449828802947037,0.2621833576930789,0.3182719363082507,0.3973060566689281,0.2397614972629441,57,mean,15B,1269
4234,RL401 2013,Lasso,5,0.0566370367148006,0.2678459307284454,0.328049594958007,0.0159632006280355,0.2873283232247876,0.3484271764647601,0.2243220421695605,0.1240534384401509,25,mean,15B,1269
